Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,159,10/30/2023,Monday
Atlanta,2,42,10/30/2023,Monday
Atlanta,3,42,10/30/2023,Monday
Atlanta,4,42,10/30/2023,Monday
Atlanta,5,42,10/30/2023,Monday
Atlanta,6,39,10/30/2023,Monday
Atlanta,7,39,10/30/2023,Monday
Atlanta,8,39,10/30/2023,Monday
Atlanta,9,39,10/30/2023,Monday
Atlanta,10,39,10/30/2023,Monday
Atlanta,11,39,10/30/2023,Monday
Atlanta,12,39,10/30/2023,Monday
Atlanta,13,39,10/30/2023,Monday
Atlanta,14,39,10/30/2023,Monday
Atlanta,15,39,10/30/2023,Monday
Atlanta,16,39,10/30/2023,Monday
Atlanta,17,39,10/30/2023,Monday
Atlanta,18,39,10/30/2023,Monday
Atlanta,19,39,10/30/2023,Monday
Atlanta,20,39,10/30/2023,Monday
Atlanta,21,39,10/30/2023,Monday
Atlanta,22,39,10/30/2023,Monday
Atlanta,23,39,10/30/2023,Monday
Atlanta,24,39,10/30/2023,Monday
Atlanta,25,39,10/30/2023,Monday
Atlanta,26,39,10/30/2023,Monday
Atlanta,27,39,10/30/2023,Monday
Atlanta,28,39,10/30/2023,Monday
Atlanta,29,39,10/30/2023,Monday
Atlanta,30,39,10/30/2023,Monday
Atlanta,31,39,10/30/2023,Monday
Atlanta,32,39,10/30/2023,Monday
Atlanta,33,39,10/30/2023,Monday
Atlanta,34,39,10/30/2023,Monday
Atlanta,35,34,10/30/2023,Monday
Atlanta,36,34,10/30/2023,Monday
Atlanta,37,34,10/30/2023,Monday
Atlanta,38,34,10/30/2023,Monday
Atlanta,39,34,10/30/2023,Monday
Atlanta,40,34,10/30/2023,Monday
Atlanta,41,34,10/30/2023,Monday
Atlanta,42,34,10/30/2023,Monday
Atlanta,43,39,10/30/2023,Monday
Atlanta,44,39,10/30/2023,Monday
Atlanta,45,39,10/30/2023,Monday
Atlanta,46,39,10/30/2023,Monday
Atlanta,47,39,10/30/2023,Monday
Atlanta,48,19,10/30/2023,Monday
Atlanta,49,19,10/30/2023,Monday
Atlanta,50,19,10/30/2023,Monday
Atlanta,51,19,10/30/2023,Monday
Atlanta,52,19,10/30/2023,Monday
Atlanta,53,19,10/30/2023,Monday
Atlanta,54,19,10/30/2023,Monday
Atlanta,55,19,10/30/2023,Monday
Atlanta,56,19,10/30/2023,Monday
Atlanta,57,44,10/30/2023,Monday
Atlanta,58,44,10/30/2023,Monday
Atlanta,59,44,10/30/2023,Monday
Atlanta,60,44,10/30/2023,Monday
Austin,1,259,10/30/2023,Monday
Austin,2,259,10/30/2023,Monday
Austin,3,259,10/30/2023,Monday
Austin,4,259,10/30/2023,Monday
Austin,5,259,10/30/2023,Monday
Austin,6,174,10/30/2023,Monday
Austin,7,174,10/30/2023,Monday
Austin,8,174,10/30/2023,Monday
Austin,9,174,10/30/2023,Monday
Austin,10,174,10/30/2023,Monday
Austin,11,174,10/30/2023,Monday
Austin,12,174,10/30/2023,Monday
Austin,13,99,10/30/2023,Monday
Austin,14,99,10/30/2023,Monday
Austin,15,99,10/30/2023,Monday
Austin,16,99,10/30/2023,Monday
Austin,17,99,10/30/2023,Monday
Austin,18,99,10/30/2023,Monday
Austin,19,99,10/30/2023,Monday
Austin,20,99,10/30/2023,Monday
Austin,21,99,10/30/2023,Monday
Austin,22,99,10/30/2023,Monday
Austin,23,99,10/30/2023,Monday
Austin,24,99,10/30/2023,Monday
Austin,25,99,10/30/2023,Monday
Austin,26,99,10/30/2023,Monday
Austin,27,99,10/30/2023,Monday
Austin,28,89,10/30/2023,Monday
Austin,29,89,10/30/2023,Monday
Austin,30,89,10/30/2023,Monday
Austin,31,79,10/30/2023,Monday
Austin,32,79,10/30/2023,Monday
Austin,33,79,10/30/2023,Monday
Austin,34,79,10/30/2023,Monday
Austin,35,89,10/30/2023,Monday
Austin,36,89,10/30/2023,Monday
Austin,37,89,10/30/2023,Monday
Austin,38,89,10/30/2023,Monday
Austin,39,89,10/30/2023,Monday
Austin,40,89,10/30/2023,Monday
Austin,41,89,10/30/2023,Monday
Austin,42,89,10/30/2023,Monday
Austin,43,89,10/30/2023,Monday
Austin,44,89,10/30/2023,Monday
Austin,45,89,10/30/2023,Monday
Austin,46,89,10/30/2023,Monday
Austin,47,89,10/30/2023,Monday
Austin,48,89,10/30/2023,Monday
Austin,49,89,10/30/2023,Monday
Austin,50,89,10/30/2023,Monday
Austin,51,89,10/30/2023,Monday
Austin,52,89,10/30/2023,Monday
Austin,53,89,10/30/2023,Monday
Austin,54,89,10/30/2023,Monday
Austin,55,89,10/30/2023,Monday
Austin,56,89,10/30/2023,Monday
Austin,57,89,10/30/2023,Monday
Austin,58,89,10/30/2023,Monday
Austin,59,89,10/30/2023,Monday
Austin,60,89,10/30/2023,Monday
Boston,1,264,10/30/2023,Monday
