Destination,Days_Ago,Price,Departure_Date,Day_of_the_Week
Atlanta,1,138,9/21/2023,Thursday
Atlanta,2,50,9/21/2023,Thursday
Atlanta,3,50,9/21/2023,Thursday
Atlanta,4,50,9/21/2023,Thursday
Atlanta,5,50,9/21/2023,Thursday
Atlanta,6,46,9/21/2023,Thursday
Atlanta,7,46,9/21/2023,Thursday
Atlanta,8,46,9/21/2023,Thursday
Atlanta,9,19,9/21/2023,Thursday
Atlanta,10,19,9/21/2023,Thursday
Atlanta,11,19,9/21/2023,Thursday
Atlanta,12,19,9/21/2023,Thursday
Atlanta,13,19,9/21/2023,Thursday
Atlanta,14,19,9/21/2023,Thursday
Atlanta,15,19,9/21/2023,Thursday
Atlanta,16,19,9/21/2023,Thursday
Atlanta,17,19,9/21/2023,Thursday
Atlanta,18,46,9/21/2023,Thursday
Atlanta,19,46,9/21/2023,Thursday
Atlanta,20,34,9/21/2023,Thursday
Atlanta,21,34,9/21/2023,Thursday
Atlanta,22,34,9/21/2023,Thursday
Atlanta,23,39,9/21/2023,Thursday
Atlanta,24,43,9/21/2023,Thursday
Atlanta,25,43,9/21/2023,Thursday
Atlanta,26,43,9/21/2023,Thursday
Atlanta,27,42,9/21/2023,Thursday
Atlanta,28,39,9/21/2023,Thursday
Atlanta,29,39,9/21/2023,Thursday
Atlanta,30,39,9/21/2023,Thursday
Atlanta,31,39,9/21/2023,Thursday
Atlanta,32,39,9/21/2023,Thursday
Atlanta,33,39,9/21/2023,Thursday
Atlanta,34,39,9/21/2023,Thursday
Atlanta,35,39,9/21/2023,Thursday
Atlanta,36,39,9/21/2023,Thursday
Atlanta,37,43,9/21/2023,Thursday
Atlanta,38,43,9/21/2023,Thursday
Atlanta,39,43,9/21/2023,Thursday
Atlanta,40,43,9/21/2023,Thursday
Atlanta,41,42,9/21/2023,Thursday
Atlanta,42,42,9/21/2023,Thursday
Atlanta,43,42,9/21/2023,Thursday
Atlanta,44,39,9/21/2023,Thursday
Atlanta,45,39,9/21/2023,Thursday
Atlanta,46,39,9/21/2023,Thursday
Atlanta,47,39,9/21/2023,Thursday
Atlanta,48,35,9/21/2023,Thursday
Atlanta,49,34,9/21/2023,Thursday
Atlanta,50,29,9/21/2023,Thursday
Atlanta,51,29,9/21/2023,Thursday
Atlanta,52,29,9/21/2023,Thursday
Atlanta,53,29,9/21/2023,Thursday
Atlanta,54,29,9/21/2023,Thursday
Atlanta,55,29,9/21/2023,Thursday
Atlanta,56,29,9/21/2023,Thursday
Atlanta,57,29,9/21/2023,Thursday
Atlanta,58,29,9/21/2023,Thursday
Atlanta,59,29,9/21/2023,Thursday
Atlanta,60,44,9/21/2023,Thursday
Austin,1,190,9/21/2023,Thursday
Austin,2,190,9/21/2023,Thursday
Austin,3,190,9/21/2023,Thursday
Austin,4,190,9/21/2023,Thursday
Austin,5,190,9/21/2023,Thursday
Austin,6,164,9/21/2023,Thursday
Austin,7,164,9/21/2023,Thursday
Austin,8,164,9/21/2023,Thursday
Austin,9,164,9/21/2023,Thursday
Austin,10,164,9/21/2023,Thursday
Austin,11,164,9/21/2023,Thursday
Austin,12,164,9/21/2023,Thursday
Austin,13,149,9/21/2023,Thursday
Austin,14,149,9/21/2023,Thursday
Austin,15,149,9/21/2023,Thursday
Austin,16,149,9/21/2023,Thursday
Austin,17,149,9/21/2023,Thursday
Austin,18,149,9/21/2023,Thursday
Austin,19,149,9/21/2023,Thursday
Austin,20,129,9/21/2023,Thursday
Austin,21,129,9/21/2023,Thursday
Austin,22,129,9/21/2023,Thursday
Austin,23,129,9/21/2023,Thursday
